,Date,Time,Location,Operator,Route,Type,Registration,cn/In,Aboard,Fatalities,Ground,Summary,Country,Regions,percent
505,01/13/1939,,"Rio de Janeiro, Brazil",Syndicato Condor,,Junkers JU-52/3m,PP-CAY,4042,9.0,9.0,0.0,The seaplane crashed in flames in mountains northeast of Rio de Janeiro., Brazil,Rio de Janeiro,100.0
510,03/16/1939,,"Manzanares, Colombia",Deutsche Lufthansa,,Junkers JU-86,,,8.0,8.0,0.0,, Colombia,Manzanares,100.0
522,08/13/1939,16:35,"Rio de Janerio, Brazil",Pan American World Airways,Miami - Rio de Janerio,Sikorsky S43 (flying boat),NC16933,,16.0,14.0,0.0,"The plane lost power from the left engine, yawed to the left, and started a descending turn in the same direction. The plane continued to lose altitude and turn at a sharper and steeper angle until it struck a caisson anchored at right angles to a small island in the harbor immediately adjacent to its landing approach path.   Loss of power from the left engine during the landing approach, necessitating an attempted landing under extremely hazardous conditions.", Brazil,Rio de Janerio,87.5
524,08/28/1939,,"Lahore, India",Indian National Airways,,De Havilland D-84,VT-AEL,,2.0,2.0,0.0,, India,Lahore,100.0
527,11/20/1939,,"Gosport, England",British Airways,,Airspeed Oxford,G-AFFM,,2.0,2.0,,, England,Gosport,100.0
534,06/02/1940,,"El Segundo, California",Douglas Aircraft Company,Test flight,Douglas DC-3,,,5.0,5.0,0.0,Crashed and burned during a government test flight, California,El Segundo,100.0
536,06/20/1940,,"Near Ouistreham, France",Air France,,Dewoitine D-338,F-ARTD,22,1.0,1.0,0.0,Inadvertently shot down by French anti-aircraft fire., France,Near Ouistreham,100.0
541,10/29/1940,,"Near Changyi, China",China National Aviation Corporation,Chungking - Kunming,Douglas DC-2,NC14297,1369,14.0,9.0,0.0,Shot down by Japanese military fighters. The plane ran into 5 Japanese fighters and made an emergency landing at a remote field only to be machine-gunned while trying to escape., China,Near Changyi,64.28571428571429
545,11/09/1940,,"Rio de Janeiro, Brazil",,Rio de Janeiro - Sao Paulo,,,,18.0,18.0,0.0,Midair collisioin with a private plane., Brazil,Rio de Janeiro,100.0
550,01/20/1941,,"Near Kian, China",China National Aviation Corporation,,Ford 5-AT Tri-Motor,,,6.0,5.0,0.0,Crashed into mountains during a thunderstorm, China,Near Kian,83.33333333333334
552,02/06/1941,02:00,"Armstrong, ON, Canada",Trans Canada Air Lines,,Lockheed 14-H2 Super Electra,CF-TCP,1501,12.0,12.0,0.0,The plane crashed after the right wing struck a tree as the pilot was attempting to land. Struck several other trees and landed inverted in a swamp., Canada,Armstrong,100.0
560,08/18/1941,,"Near Sao Paulo, Brazil",Panair do Brasil,Porto Alegre - Rio de Janera,Lockheed 18 LodeStar,PP-PBD,2083,12.0,8.0,0.0,Crashed in a mountain range while enroute., Brazil,Near Sao Paulo,66.66666666666666
561,09/01/1941,,"Bollemont, France",Air France,,Bloch 220,F-AQNL,12,17.0,13.0,0.0,The aircraft crashed into lake Bolomon after engine failure during takeoff., France,Bollemont,76.47058823529412
566,10/30/1941,22:10,"St. Thomas, Ontario, Canada",American Airlines,New York - Buffalo - Chicago - Detroit,Douglas DC-3,NC25663,2207,20.0,20.0,0.0,"The aircraft, on a flight from New York to Chicago, circled a wooded area 3 or 4 times looking for a landing spot before stalling and diving into a plowed field. Cause unknown.", Canada,St. Thomas,100.0
574,02/15/1942,,"English Channel, near Plymouth, England",British Overseas Airways,,Consolidated Liberator,G-AGDR,9,9.0,9.0,0.0,Shot down in error., England,English Channel,100.0
580,03/14/1942,22:15,"Kunming, China",China National Aviation Corporation,,Douglas DC-2-221,31,1567,17.0,13.0,0.0,"Crashed 2 km from the Kunming Airdome shortly after takeoff.  Possible causes include engine failure,  overloading, sabotage and temporary blinding by a bright light.", China,Kunming,76.47058823529412
586,07/20/1942,,"Llanfair, England",Military - Royal Air Force,,Lockheed Hudson,N7253,,13.0,13.0,0.0,, England,Llanfair,100.0
590,08/23/1942,,"Invergordon, England",Military - Royal Air Force,,Short Sunderland,W4026,,14.0,13.0,0.0,, England,Invergordon,92.85714285714286
593,10/01/1942,,"Kunming, China",China National Aviation Corporation,,Douglas C-47,69,,,,,Crashed while attempting to land after losing oil pressure on one engine., China,Kunming,
597,10/23/1942,17:15,"Palm Springs, California",American Airlines / Military - USAF,Palm Springs - New York City,Douglas DC-3 / Boeing B-34,NC16017,1555,13.0,12.0,0.0,"Midair collision between an Army bomber and airliner over Chino Canyon near Palm Springs at 9,000 feet destroying the rudder of the DC-3.  All 12 aboard the DC-3 were killed. The Boeing B-34 landed safely with minor damage. The reckless and irresponsible conduct of the bomber pilot, William Wilson, in deliberately maneuvering a bomber in dangerous proximity to an airliner in an unjustifiable attempt to attract the attention of the first officer, his friend aboard the airliner. Composer and song writer Ralph Rainger, 41, killed.`", California,Palm Springs,92.3076923076923
604,01/21/1943,07:30,"Ukiah, California",Pan American World Airways,Hawaii - San Francisco,Martin M-130 (flying boat),NC14715,557,19.0,19.0,0.0,"Flew into a 2,500 ft. mountain while circling in bad weather, after being unable to land in darkness and deciding whether to divert to San Diego. Clipped trees, struck the ground and broke up.  Failure of the captain to determine his position accurately before descending to a dangerously low altitude under extremely poor weather conditions during the hours of darkness. The aircraft was named Philippine Clipper.", California,Ukiah,100.0
609,03/11/1943,,"Luishui, China",China National Aviation Corporation,Kunming - Assam,Douglas C-53,53,,3.0,3.0,0.0,The cargo plane was caught in a downdraft in a mountain pass en route and crashed., China,Luishui,100.0
610,03/13/1943,,"Himalaya, China",China National Aviation Corporation,Kunming - Dinjan,Douglas C-53,49,,3.0,3.0,0.0,Disappeared over the Himalayas., China,Himalaya,100.0
623,08/11/1943,,"Fort Hertz, China",China National Aviation Corporation,,Douglas C-53,48,,3.0,3.0,0.0,The cargo plane was shot down by Japanese fighters., China,Fort Hertz,100.0
624,08/27/1943,,"Rio de Janeiro, Brazil",VASP,,Junkers JU-52/3m,PP-SPD,5459,21.0,18.0,0.0,Struck a Naval Academy building while attemptin to take off.  The plane then broke in two and fell into the harbor. The plane was named 'City of Rio de Janiero.', Brazil,Rio de Janeiro,85.71428571428571
627,09/22/1943,06:00,"Near Calcutta, India",Military - U.S. Army Air Forces,,Douglas C-53,42-6471,4923,20.0,20.0,0.0,Cashed into trees shortly after taking off., India,Near Calcutta,100.0
629,10/19/1943,,"St. Donat, Quebec, Canada",Military - Royal Canadian Air Force,,Consolidated B-24,,,24.0,24.0,0.0,"The plane crashed in a snowstorm, on a cliff near the summit of Black Mountain, 60 miles north of its destination, Montreal. The wreckage was located three years later.", Canada,St. Donat,100.0
632,11/08/1943,,"Poona, India",Military - Indian Air Force,,,,,1.0,1.0,37.0,Crashed into a village., India,Poona,100.0
633,11/19/1943,,"Kunming, China",China National Aviation Corporation,,Douglas C-53,59,,3.0,2.0,0.0,The cargo plane crashed short of the runway in poor weather conditions., China,Kunming,66.66666666666666
634,11/19/1943,,"Kunming, China",China National Aviation Corporation,,Douglas C-47,63,,3.0,3.0,0.0,A navigational error caused the cargo plane to strike a mountain., China,Kunming,100.0
636,12/18/1943,,"Suifu, China",China National Aviation Corporation,,Douglas C-47,83,,3.0,3.0,0.0,The cargo plane struck a mountain while attempting a go-around., China,Suifu,100.0
644,04/06/1944,15:48,"Near Nome, Alaska",Pan American World Airways,Nome - Fairbanks,Pilgrim 100B,NC742N,,6.0,6.0,0.0,Crashed shortly after takeoff in a snow storm. Failure of the pilot to recognize his proximity to the ground due to heavy snow which entirely covered the terrain., Alaska,Near Nome,100.0
647,04/25/1944,,"Montreal, Canada",Military - Royal Air Force,"Montreal, Canada - European air base",Consolidated Liberator,,,16.0,16.0,0.0,Crashed into a row of houses shortly after taking off from Dorval Airport., Canada,Montreal,100.0
648,05/26/1944,,"Between Calcutta to Dinjan, China",China National Aviation Corporation,Calcutta - Dinjan,Douglas C-47,82,,12.0,12.0,0.0,"While enroute the crew got lost and crashed into 22,000 foot mountain in Tibet. Bad weather prevented the pilot from getting a bearing on any radio station.", China,Between Calcutta to Dinjan,100.0
649,05/27/1944,,"Off Calcutta, India",China National Aviation Corporation,,Douglas DC-3,,,14.0,14.0,0.0,Crashed at sea in poor weather conditions., India,Off Calcutta,100.0
650,06/06/1944,01:30,"Carentan, France",Military - U.S. Army Air Forces,,Douglas C-47A-DL,42-101035,19498,22.0,22.0,0.0,Shot down by anti-aircraft fire during the Normandy invasion., France,Carentan,100.0
651,06/06/1944,02:00,"Flamanville, France",Military - U.S. Army Air Forces,,Douglas C-47A,42-100905,19368,22.0,22.0,0.0,Shot down by anti-aircraft fire during the Normandy invasion., France,Flamanville,100.0
652,06/06/1944,01:15,"Barneville, France",Military - U.S. Army Air Forces,,Douglas C-47A,42-93095,112969,22.0,22.0,0.0,Shot down by anti-aircraft fire during the Normandy invasion., France,Barneville,100.0
653,06/08/1944,,"Kunming, China",China National Aviation Corporation,Dijan - Kunming,Douglas C-47,85,,6.0,6.0,0.0,"The plane discintigrated in mid-aid. The jack pad had been removed from the right wing root. This left 4 large holes directly under the fuel tanks and directly in line with the exhaust. When the throttles were cut to descend, the flame only went as far back as the holes. There the flames went up around the fuel tank, igniting the fumes and blew the wing off.", China,Kunming,100.0
654,06/18/1944,,"Kweilin, China",China National Aviation Corporation,"Kunming - Chungking,",Douglas C-47,71,,4.0,2.0,0.0,"Diverted to Kweilin after Chunking was below minimums. After holding over Kweilin for 3 hours, the aircraft ran out of gas, hit mountain and was demolished.", China,Kweilin,50.0
655,06/20/1944,,"Porto Alegre, Brazil",Varig,,Lockheed 10C Electra,PP-VAG,1008,10.0,10.0,0.0,Crashed into a river., Brazil,Porto Alegre,100.0
661,08/12/1944,18:20,"Blythburgh, England",Military - U.S. Navy,,Consolidated PB4Y-1,32271,,2.0,2.0,0.0,"Navy lieutenant Joseph P. Kennedy Jr., 29, brother of President John F. Kennedy, was killed while on a flying mission over England during World War II.  Kennedy volunteered for operation Aphrodite after completing two full combat tours and was killed when the explosive-laden PB4Y he was flying blew up in air.  He was intending to aim the ship and bail out, leaving another aircraft to guide the PB4Y via remote control to a German submarine pen on the French coast; it apparently exploded when he armed the switches.  The photographichase plane had President Franklin Roosevelt's son, Elliot Roosevelt, on board.", England,Blythburgh,100.0
662,08/23/1944,10:45,"Freckelton, England",Military - U.S. Air Force,,Consolidated B-24H,42-50291,,3.0,3.0,58.0,The bomber crashed into a school and a cafe while attempting to land at Warton Air Depot in poor weather. The crash occurred during a thunderstorm with heavy rain and winds. Windshear., England,Freckelton,100.0
664,08/30/1944,,"Sao Paulo, Brazil",Panair do Brasil,,Lockheed 18 Lodestar,PP-PBI,2114,16.0,16.0,0.0,Crashed in fog., Brazil,Sao Paulo,100.0
668,09/21/1944,,"Rio Doce, Brazil",Panair do Brasil,,Lockheed 18 Lodestar,PP-PBH,2113,17.0,17.0,0.0,, Brazil,Rio Doce,100.0
669,09/27/1944,20:30,"Near Dijon, France",Deutsche Lufthansa,Stuttgart - Barcelona,Focke-Wulf FW 200,D-AMHL,20,9.0,9.0,0.0,Missing on a flight from France to Spain. Shot down by an American Bristol Beau allied night fighter., France,Near Dijon,100.0
671,10/07/1944,,"Near Sadiya, India",China National Aviation Corporation,Dinjan - Suifu,Douglas C-47,101,,3.0,3.0,0.0,Both wing of the cargo plane separated from the fuselage after the aircraft penetrated a thunderstorm., India,Near Sadiya,100.0
676,10/18/1944,15:40,"Birkenhead, England",Military - U.S. Army Air Forces,Liverpool - New York,Consolidated B24H,42-50347,,24.0,24.0,0.0,Broke-up in flight either due to an explosion or catastrophistructural failure of the aircraft., England,Birkenhead,100.0
677,11/04/1944,17:15,"Hanford, California",Trans Continental and Western Air,San Francisco - New York City,Douglas DC-3,NC28310,2251,24.0,24.0,0.0,"The wing separated from the aircraft after entering a thunderstorm and encountering severe turbulence. The failure of the airplane's structure as a result of severe turbulence, an important contributing cause was the fact that the airplane was undoubtedly in an abnormal attitude of flight,  i.e., inverted, at the instant of structural failure. The cause of the airplane becoming inverted was not determined.", California,Hanford,100.0
679,11/19/1944,15:10,"Lewes, England",Military - U.S. Army Air Forces,,Douglas C-47A-DL,43-15046,19512,30.0,25.0,0.0,"Flying in low overcast, the aircraft struck a hill, exploded and burned.", England,Lewes,83.33333333333334
683,11/30/1944,,"Dinjan, China",China National Aviation Corporation,,Douglas C-47,56,,3.0,3.0,0.0,The cargo plane flew into Digboi Mountain after losing both engines., China,Dinjan,100.0
684,12/01/1944,00:54,"Van Nuys, California",Trans Continental and Western Air,San Francisco - Burbank - New York City,Douglas DC-3,NC17322,1965,17.0,9.0,0.0,The plane crashed and burned 6.5 miles west northwest of the Bubank Airport in dense fog. The pilot's deviation from the standard instrument approach procedure and descent below the established safe minimum altitude. A contributing factor was the company's failure to enforce adherence to company procedures., California,Van Nuys,52.94117647058824
687,01/06/1945,,"Near Dinjan, India",China National Aviation Corporation,Kunming - Tengchung,Douglas C-47,77,,4.0,4.0,0.0,The cargo plane crashed in strong winds, India,Near Dinjan,100.0
689,01/10/1945,04:10,"Burbank, California",American Airlines,"New York City - Juarez, Mexico - Burbank",Douglas DC-3,NC25684,2215,24.0,24.0,0.0,"The aircraft, lost in fog, crashed into the Verdugo Mountains,  while attempting to reach Palmdale Airport, its alternate landing site, after being unable to land at Burbank Airport. The company ground personnel failed to obtain and transmit important weather to the pilot. Improperly executed missed approach by the pilot. Actress Donna Reed was returning from Juarez where she obtained a divorce from her husband but was bumped from the flight just prior to takeoff  to make room for a military officer holding a wartime-travel priority pass.", California,Burbank,100.0
691,01/16/1945,,"Near Kunming, China",China National Aviation Corporation,Chongqing - Kunming,Douglas C-47,,,3.0,3.0,0.0,, China,Near Kunming,100.0
695,02/06/1945,10:05,"Nunters Burgh, England",Military -Royal Air Force,,Douglas C-47 Dakota,KG630,13390,23.0,23.0,0.0,Struck a mountain while flying in low clouds and poor visibility., England,Nunters Burgh,100.0
696,02/13/1945,06:30,"Off Oakland, California",Military - U.S. Navy,,Douglas R4D-6,50765,,24.0,24.0,0.0,Crashed into San Francisco bay shortly after taking off. The right wing struck to water as the plane made a wide turn., California,Off Oakland,100.0
697,02/15/1945,,"Lagoa Santa, Brazil",Navegacao Aerea Brasileira,,Lockheed 18 Loadstar,PP-NAE,2149,11.0,11.0,0.0,, Brazil,Lagoa Santa,100.0
701,04/09/1945,,"Kunming, China",China National Aviation Corporation,Kunming - Sichang,Douglas C-47,88,,3.0,3.0,0.0,The cargo plane struck a mountain in the Himalayas under poor weather conditions., China,Kunming,100.0
707,04/23/1945,,"North Barrule, Isle of Man, England",Military - U.S. Air Force,Ridgewell - Nutts Corner,B17G Flying Fortress,43-38856,,31.0,31.0,0.0,, England,North Barrule,100.0
710,05/06/1945,12:55,"Hindhead, England",Military - U.S. Army Air Forces,,Curtiss-Wright C-46D-CU,44-77839,33235,30.0,30.0,1.0,"Flying low because of poor visiblity, the aircraft struck a radar tower, lost its right wing, crashed and burned. Pilot error. Flying VFR in IFR conditions.", England,Hindhead,100.0
711,05/09/1945,1:30,"Roye, France",Military -Royal Air Force,England - Brussels,Avro Lancaster,RF230,,31.0,31.0,0.0,The aircraft went in to a spin and crashed in a wooded area and caught fire., France,Roye,100.0
716,06/25/1945,07:50,"Swanage, England",Military -Royal Air Force,,Consolidated LB-30A Liberator,JT985,,27.0,27.0,0.0,Crashed and burned on a hillside after experiencing engine failure., England,Swanage,100.0
717,06/29/1945,,"Bangalore, India",Military - Royal Indian Air Force,,,,,2.0,2.0,36.0,Crashed into a village exploding and destoying several houses., India,Bangalore,100.0
729,09/28/1945,,"Near Chihkiang, China",Military - United States Army Air Force,,Curtiss C-46D,42-101183,30638,20.0,20.0,0.0,, China,Near Chihkiang,100.0
